uniqueID,AnomTot,AnomKill,AnomWound,primary.source,year,sequence,cluster,date,killed,wounded,total,offender.race,offender.gender,offender.age,offender.county,offender.state,attack.city,attack.county,attack.state,attack.location.name,location.type,location.area,location.atmosphere,location.environment,attack.latitude,attack.longitude,attack.site.count,firearm.count,weapons.description,assault.weapon.used,offender.count,prior.mental.health.warnings,victim.offender.relationship,BlackSwan
Mother Jones|2014|41782|19|Santa Barbara,y,,y,Mother Jones,2014,28,A,5/23/2014,6,13,19,White,Male,22,Santa Barbara,California,Santa Barbara,Santa Barbara,California,University of California Santa Barbara; Street; Apartment complex,School; Street; Residence,Indoors; Outdoors,Public,Mixed,34.43628,-119.871,3,3,"Two Sig Sauer P226 semiautomatic pistols and Glock 34 pistol, and hundreds of rounds of ammo.",N,1,,Known; Unknown,y
Mother Jones|2015|42172|10|Charleston,,y,,Mother Jones,2015,29,15,6/17/2015,9,1,10,White,Male,21,Lexington,South Carolina,Charleston,Charleston,South Carolina,Emanuel AME Church,Religious,Indoors,Public,Non-residential,32.78839,-79.9331,1,1,".45-caliber Glock (model 41, with 13-round capacity magazine)",N,1,,Unknown,y
Mother Jones|2015|42278|18|Roseburg,y,y,,Mother Jones,2015,30,A,10/1/2015,9,9,18,Black; White,Male,26,Douglas,Oregon,Roseburg,Douglas,Oregon,Umpqua Community College,School,Indoors,Public,Non-residential,43.28954,-123.333,1,6,"9 mm Glock pistol, .40 caliber Smith & Wesson, .40 caliber Taurus pistol, .556 caliber Del-Ton; (ammo details unclear)",N,1,,Known; Unknown,y
Mother Jones|2015|42340|35|San Bernardino,y,y,y,Mother Jones,2015,31,2,12/2/2015,14,21,35,Middle Eastern,Male; Female,28; 29,San Bernardino,California,San Bernardino,San Bernardino,California,Inland Regional Center,Office,Indoors,,Non-residential,34.07596,-117.278,1,4,"Two semiautomatic AR-15-style riflesâ€”one a DPMS A-15, the other a Smith & Wesson M&P15, both with .223 calibre ammunition. Two 9mm semiautomatic handguns. High capacity magazines.",Y,2,,Known; Unknown,y
Mother Jones|2016|42425|17|Hesston,y,,y,Mother Jones,2016,32,7,2/25/2016,3,14,17,Black,Male,38,Harvey,Kansas,Hesston,Harvey,Kansas,Excel Industries,Street; Manufacturing,Indoors; Outdoors,,Non-residential,38.13599,-97.4251,3,2,"Zastava Serbia AK-47-style rifle, Glock Model 22 .40-caliber handgun; high-capacity magazines (30 rounds)",Y,1,,Known; Unknown,y
Mother Jones|2016|42533|102|Orlando,y,y,y,Mother Jones,2016,33,17,6/12/2016,49,53,102,Middle Eastern,Male,29,St Lucie,Florida,Orlando,Orange,Florida,Pulse Night Club,Bar,Indoors,,Non-residential,28.51972,-81.3768,1,2,"Sig Sauer MCX rifle, Glock 17 9mm; high-capacity magazines (30 rounds)",Y,1,,Unknown,y
Mother Jones|2016|42558|16|Dallas,y,,,Mother Jones,2016,34,5,7/7/2016,5,11,16,Black,Male,25,Dallas,Texas,Dallas,Dallas,Texas,Black Lives Matter March,Street,Outdoors,Public,Non-residential,32.78011,-96.8,1,3,"Izhmash-Saiga 5.45mm (AK-style) semiautomatic rifle with large capacity magazines; Glock 9mm handgun, .25-caliber semiautomatic handgun",Y,1,,Unknown,y
MST|2017|42882|9|Bogue Chitto,,y,,MST,2017,35,10,5/27/2017,8,1,9,Black,Male,35,Kemper,Mississippi,Bogue Chitto,Lincoln,Mississippi,Single family home,Residence,Indoors,Private,Residential,31.554525,-90.3866678,3,1,,N,1,,Known,y
MST|2017|42988|10|Plano,,y,,MST,2017,36,5,9/10/2017,9,1,10,White,Male,32,Collin,Texas,Plano,Collin,Texas,Single family home,Residence,Indoors,Private,Residential,33.0557913,-96.7286128,1,3,"AR-15, shotgun, ruger pistol",Y,1,Y,Known,y
GVA|2017|43009|500|Las Vegas,y,y,y,GVA,2017,37,2,10/1/2017,59,441,500,White,Male,64,Clark,Nevada,Las Vegas,Clark,Nevada,Route 91 Harvest,Concert,Outdoors,,Non-residential,36.095739,-115.171544,1,23,"23 firearms, mostly rifles; including scopes, and two modified for ""fully automatic"" firing; two were mounted on tripods",Y,1,,Unknown,y
MST|2017|43044|47|Sutherland Springs,y,y,y,MST,2017,38,6,11/5/2017,27,20,47,White,Male,26,Comal,Texas,Sutherland Springs,Wilson,Texas,Sutherland Springs Baptist Church,Religious,Indoors,,Non-residential,29.273282,-98.056488,1,2,Ruger AR-556; Kelley also possessed semiautomatic handguns,Y,1,Y,Known,y
GVA|2017|43053|18|Corning,y,,,GVA,2017,39,A,11/14/2017,6,12,18,White,Male,44,Tehama,California,Corning,Tehama,California,Rancho Tehama Reserve,School; Residence; Street,Indoors; Outdoors,,Mixed,40.018759,-122.393089,3,4,"2 handguns, 2 semi-auto rifles",N,1,Y,Known; Unknown,y
MST|2018|43123|16|Benton,y,,y,MST,2018,40,10,1/23/2018,2,14,16,White,Male,15,Marshall,Kentucky,Benton,Marshall,Kentucky,Marshall County High School,School,Indoors,,Non-residential,36.912807,-88.334952,1,1,Ruger handgun,N,1,,Known,y
MST|2018|43145|34|Pompano Beach (Parkland),y,y,y,MST,2018,41,17,2/14/2018,17,17,34,White,Male,19,Broward,Florida,Pompano Beach (Parkland),Broward,Florida,Marjory Stoneman Douglas High School,School,Indoors,,Non-residential,26.30483,-80.269511,1,1,AR-15,Y,1,Y,Known,y
MST|2018|43238|23|Santa Fe,y,y,y,MST,2018,42,6,5/18/2018,10,13,23,White,Male,17,Galveston,Texas,Santa Fe,Galveston,Texas,Sante Fe High School,School,Indoors,,Non-residential,29.392825,-95.141972,1,2,shotgun; .38 revolver,N,1,,Known,y
MST|2018|43400|18|Pittsburgh,y,y,,MST,2018,43,13,10/27/2018,11,7,18,White,Male,46,Allegheny,Pennsylvania,Pittsburgh,Allegheny,Pennsylvania,Tree of Life Synagogue,Religious,Indoors,Public,Non-residential,40.4436972,-79.92302,1,3,AR-15; Glock .357 (3),Y,1,,Unknown,y
MST|2018|43411|15|Thousand Oaks,y,y,,MST,2018,44,2,11/7/2018,13,2,15,White,Male,28,Ventura,California,Thousand Oaks,Ventura,California,Borderline Bar and Grill,Bar,Indoors,Public,Non-residential,34.1766201,-118.877038,1,1,"Glock 21, .45 caliber; high-capacity magazine",N,1,Y,Unknown,y
